track_name,artist(s)_name,in_spotify_playlists,streams,in_apple_playlists,in_deezer_playlists,artist_count,released_year,released_month,released_day,in_spotify_charts,in_apple_charts,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,speechiness_%,liveness_%,key,mode
Hold Me Closer,"Elton John, Britney Spears",4967,284216603,165,177,2,2017,11,10,0,10,4,73,126,67,49,77,11,0,11,19,,Major
Hold My Hand,Lady Gaga,2528,238350348,63,270,1,2022,5,3,0,8,2,105,148,51,21,63,5,0,3,41,G,Major
Holly Jolly Christmas,Michael Bublï¿,7655,476244795,5,291,1,2011,10,14,0,0,0,0,151,65,70,47,87,0,4,9,G,Major
Honest (feat. Don Toliver),"Justin Bieber, Don Toliver",1351,106919680,26,17,2,2022,4,29,0,1,0,0,150,82,82,66,13,0,6,11,G#,Minor
Hope,XXXTENTACION,3659,1200808494,11,267,1,2018,3,16,0,10,0,7,146,59,23,46,66,0,6,15,A,Minor
Hot Shit (feat. Ye & Lil Durk),"Kanye West, Lil Durk, Cardi B",1601,85924992,11,2,3,2022,7,1,0,0,0,0,157,88,52,69,0,0,23,8,A,Major
House Of Memories,Panic! At The Disco,2948,582863434,10,150,1,2016,1,15,0,2,0,0,110,51,48,82,0,0,3,5,B,Minor
How Do I Make You Love Me?,The Weeknd,1915,119238316,7,15,1,2022,1,7,0,47,0,0,121,80,62,51,2,0,8,9,G,Minor
How Do I Say Goodbye,Dean Lewis,2163,284785823,72,58,1,2022,8,5,15,97,0,154,82,40,39,64,21,0,7,7,G#,Major
Hrs and Hrs,Muni Long,1800,181328253,43,46,1,2021,11,19,0,36,13,4,140,51,66,53,60,0,18,11,G#,Minor
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",277,39666245,1,5,2,2023,6,2,1,20,0,1,81,59,26,60,46,1,13,25,F#,Major
Hype Boy,NewJeans,892,363472647,20,12,1,2022,8,1,17,119,2,7,100,59,78,94,27,0,23,29,E,Minor
I AM,IVE,366,123132751,16,7,1,2023,4,10,15,102,0,55,122,68,38,88,1,0,5,8,E,Minor
I AM WOMAN,Emmy Meli,2795,225259194,45,107,1,2021,11,18,0,0,0,0,170,65,46,47,12,0,16,13,A#,Major
I Ain't Worried,OneRepublic,8431,1085685420,241,458,1,2022,5,13,76,127,37,332,140,71,82,81,11,0,5,6,,Major
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,516,52135248,73,42,1,2023,7,7,38,119,1,150,123,69,82,76,6,0,3,6,F#,Major
I Hate U,SZA,4094,356709897,66,43,1,2021,12,3,0,96,0,0,107,54,41,39,51,0,16,11,G,Minor
I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",1178,91656026,9,9,2,2022,1,7,0,10,0,0,110,75,85,84,10,0,19,31,D,Major
